drug_name,brand_name,generic_name,interacts_with_list,description,source
FLUTAMIDE,EULEXIN,FLUTAMIDE,"Drug Interactions, Eulexin, Therefore, Increases",Drug Interactions Increases in prothrombin time have been noted in patients receiving long-term warfarin therapy after Eulexin ® was initiated. Therefore close monitoring of prothrombin time is recommended and adjustment of the anticoagulant dose may be necessary when Eulexin ® capsules are administered concomitantly with warfarin.,FDA_openFDA
PROCAINAMIDE HYDROCHLORIDE,PROCAINAMIDE HYDROCHLORIDE,PROCAINAMIDE HYDROCHLORIDE,"Drug Interactions, Anticholinergic","Drug Interactions If other antiarrhythmic drugs are being used, additive effects on the heart may occur with PA administration, and dosage reduction may be necessary (see WARNINGS ). Anticholinergic drugs administered concurrently with PA may produce additive antivagal effects on A-V nodal conduction, although this is not as well documented for PA as for quinidine. Patients taking PA who require neuromuscular blocking agents such as succinylcholine may require less than usual doses of the latter, due to PA effects on reducing acetylcholine release.",FDA_openFDA
INSULIN GLARGINE,BASAGLAR KWIKPEN,INSULIN GLARGINE,"May Decrease, Table, Clinically Significant, Intervention, Alcohol, Drugs That, Hypoglycemia Drugs, May Increase, May Blunt, Symptoms, Drug Interactions, Signs, Dose, Drugs, Pentamidine, Antidiabetic, Atypical, Blood Glucose, Risk, Lowering Effect, Decrease","7 DRUG INTERACTIONS Table 6 includes clinically significant drug interactions with BASAGLAR Table 6: Clinically Significant Drug Interactions with BASAGLAR Drugs That May Increase the Risk of Hypoglycemia Drugs: Antidiabetic agents, ACE inhibitors, angiotensin II receptor blocking agents, disopyramide, fibrates, fluoxetine, monoamine oxidase inhibitors, pentoxifylline, pramlintide, salicylates, somatostatin analogs (e.g., octreotide), and sulfonamide antibiotics. Intervention: Dose reductions and increased frequency of glucose monitoring may be required when BASAGLAR is co-administered with these drugs. Drugs That May Decrease the Blood Glucose Lowering Effect of BASAGLAR Drugs: Atypical antipsychotics (e.g., olanzapine and clozapine), corticosteroids, danazol, diuretics, estrogens, glucagon, isoniazid, niacin, oral contraceptives, phenothiazines, progestogens (e.g., in oral contraceptives), protease inhibitors, somatropin, sympathomimetic agents (e.g., albuterol, epinephrine, terbutaline), and thyroid hormones Intervention: Dose increases and increased frequency of glucose monitoring may be required when BASAGLAR is co-administered with these drugs. Drugs That May Increase or Decrease the Blood Glucose Lowering Effect of BASAGLAR Drugs: Alcohol, beta-blockers, clonidine, and lithium salts. Pentamidine may cause hypoglycemia, which may sometimes be followed by hyperglycemia. Intervention: Dose adjustment and increased frequency of glucose monitoring may be required when BASAG",FDA_openFDA
ISOSORBIDE MONONITRATE,ISOSORBIDE MONONITRATE,ISOSORBIDE MONONITRATE,"Alcohol, Drug Interactions, Dose, Marked","Drug Interactions The vasodilating effects of isosorbide mononitrate may be additive with those of other vasodilators. Alcohol, in particular, has been found to exhibit additive effects of this variety. Marked symptomatic orthostatic hypotension has been reported when calcium channel blockers and organic nitrates were used in combination. Dose adjustments of either class of agents may be necessary.",FDA_openFDA
BRINZOLAMIDE,AZOPT,BRINZOLAMIDE,"High, Oral Carbonic, There, Anhydrase Inhibitors, However, Rare, Dose Salicylate, Therefore, Therapy Carbonic","7 DRUG INTERACTIONS • There is a potential additive effect of the known systemic effects of carbonic anhydrase inhibition in patients receiving both oral and topical carbonic anhydrase inhibitors. ( 7.1 ) • Rare instances of acid-base alterations have occurred with high-dose salicylate therapy. ( 7.2 ) 7.1 Oral Carbonic Anhydrase Inhibitors There is a potential for an additive effect on the known systemic effects of carbonic anhydrase inhibition in patients receiving an oral carbonic anhydrase inhibitor and AZOPT. The concomitant administration of AZOPT and oral carbonic anhydrase inhibitors is not recommended. 7.2 High-Dose Salicylate Therapy Carbonic anhydrase inhibitors may produce acid-base and electrolyte alterations. These alterations were not reported in the clinical trials with brinzolamide. However, in patients treated with oral carbonic anhydrase inhibitors, rare instances of acid-base alterations have occurred with high-dose salicylate therapy. Therefore, the potential for such drug interactions should be considered in patients receiving AZOPT.",FDA_openFDA
IPRATROPIUM BROMIDE AND ALBUTEROL SULFATE,IPRATROPIUM BROMIDE AND ALBUTEROL SULFATE,IPRATROPIUM BROMIDE AND ALBUTEROL SULFATE,"Caution, Drug Interactions, Diuretics, Monoamine, Anticholinergic, Ipratropium","Drug Interactions Anticholinergic agents : Although ipratropium bromide is minimally absorbed into the systemic circulation, there is some potential for an additive interaction with concomitantly used anticholinergic medications. Caution is, therefore, advised in the coadministration of ipratropium bromide and albuterol sulfate with other drugs having anticholinergic properties. ß-adrenergic agents : Caution is advised in the coadministration of ipratropium bromide and albuterol sulfate and other sympathomimetic agents due to the increased risk of adverse cardiovascular effects. ß-receptor blocking agents : These agents and albuterol sulfate inhibit the effect of each other. β-receptor blocking agents should be used with caution in patients with hyperreactive airways, and if used, relatively selective β1 selective agents are recommended. Diuretics : The electrocardiogram (ECG) changes and/or hypokalemia that may result from the administration of non-potassium sparing diuretics (such as loop or thiazide diuretics) can be acutely worsened by β-agonists, especially when the recommended dose of the β-agonist is exceeded. Although the clinical significance of these effects is not known, caution is advised in the coadministration of β-agonist-containing drugs, such as ipratropium bromide and albuterol sulfate, with non-potassium sparing diuretics. Monoamine oxidase inhibitors or tricyclic antidepressants : Ipratropium bromide and albuterol sulfate should be administered with extrem",FDA_openFDA
"OMEPRAZOLE, SODIUM BICARBONATE",OMEPRAZOLE AND SODIUM BICARBONATE,"OMEPRAZOLE, SODIUM BICARBONATE","Administered, Substrates, Impact, Diazepam Clinical, Voriconazole, Hyper, Interactions Affecting, Table, Consult, Monitor, Increases, Other Drugs, Ritonavir, Diagnostics Antiretrovirals, Test Clinical, Interaction, Omeprazole When, Intervention, Serum, Avoid, Limit, Clopidogrel Clinical, Inhibitors Clinical, Rilpivirine, Warnings","7 DRUG INTERACTIONS Tables 6 and 7 include drugs with clinically important drug interactions and interaction with diagnostics when administered concomitantly with omeprazole and instructions for preventing or managing them. Consult the labeling of concomitantly used drugs to obtain further information about interactions with PPIs. Table 6: Clinically Relevant Interactions Affecting Drugs Co-Administered with Omeprazole and Interaction with Diagnostics Antiretrovirals Clinical Impact: The effect of PPIs on antiretroviral drugs is variable. The clinical importance and the mechanisms behind these interactions are not always known. Decreased exposure of some antiretroviral drugs (e.g., rilpivirine, atazanavir and nelfinavir) when used concomitantly with omeprazole may reduce antiviral effect and promote the development of drug resistance [see Clinical Pharmacology (12.3) ] . Increased exposure of other antiretroviral drugs (e.g., saquinavir) when used concomitantly with omeprazole may increase toxicity [see Clinical Pharmacology (12.3) ] . There are other antiretroviral drugs which do not result in clinically relevant interactions with omeprazole. Intervention: Rilpivirine-containing products: Concomitant use with Omeprazole and Sodium Bicarbonate is contraindicated [see Contraindications (4) ]. Atazanavir: Avoid concomitant use with Omeprazole and Sodium Bicarbonate. See prescribing information for atazanavir for dosing information. Nelfinavir: Avoid concomitant use with Omepraz",FDA_openFDA
PYRIDOSTIGMINE BROMIDE,PYRIDOSTIGMINE BROMIDE,PYRIDOSTIGMINE BROMIDE,"Anticholinesterase, Particular, Neuromuscular Transmission, Other Anticholinesterase, Mefloquine Concomitant, Drugs Converted, Atropine, However, Doses, Depolarizing, Mefloquine, Dose, Drugs, Pantothenic Acid, Aminoglycoside, Exacerbation, Narcotics The, Drugs Concomitant, Concomitant, Interfere, Additive, Narcotics","7 DRUG INTERACTIONS Mefloquine: Additive effect on gastrointestinal tract and atrial rate. ( 7.1 ) Anticholinesterase drugs for glaucoma treatment: Additive effects. ( 7.2 ) Narcotics: Exacerbation of bradycardia possible. ( 7.3 ) Depolarizing neuromuscular blocking agents: Increased effect. ( 7.4 ) Non-depolarizing neuromuscular blocking agents: Dose may need to be increased. ( 7.4 ) Aminoglycoside antibiotics, local and some general anesthetics, anti-arrhythmic agents, and other drugs that interfere with neuromuscular transmission should be used cautiously, if at all. ( 7.4 ) Drugs converted to pantothenic acid (e.g., dexpanthenol): Additive effect. ( 7.5 ) 7.1 Mefloquine Concomitant use of mefloquine and pyridostigmine bromide may have additive effects on the gastrointestinal tract, the most common of which is loose bowels. Additive effects on the atrial rate may also occur with concomitant use of mefloquine and pyridostigmine bromide. 7.2 Other Anticholinesterase Drugs Concomitant use of anticholinesterase drugs used in the treatment of glaucoma and pyridostigmine bromide may have an additive effect that may cause or exacerbate problems with night vision. 7.3 Narcotics The bradycardia associated with the use of narcotics may exacerbate pyridostigmine-induced bradycardia. 7.4 Drugs that Interfere with Neuromuscular Transmission Particular caution should be observed in the administration of depolarizing neuromuscular blocking agents (e.g., succinylcholine) during surgery si",FDA_openFDA
DDORZOLAMIDE HYDROCHLORIDE TIMOLOL MALEATE,DORZOLAMIDE HYDROCHLORIDE TIMOLOL MALETAE,DDORZOLAMIDE HYDROCHLORIDE TIMOLOL MALEATE,"Caution, High, Oral Carbonic, Close, Therefore, Therapy Although, Inhibitors Potentiated, Clonidine Oral, Agents Patients, Oral, Digitalis, There, Adrenergic Blocking, Calcium Antagonists, Potential, Concomitant, Depleting Drugs, Anhydrase Inhibitors, Dose Salicylate, Beta, Catecholamine","7 DRUG INTERACTIONS Potential additive effect of oral carbonic anhydrase inhibitor with dorzolamide hydrochloride and timolol maleate ophthalmic solution. (7.1) Potential acid-base and electrolyte disturbances. (7.2) Concomitant use with systemic beta-blockers may potentiate systemic beta blockade. (7.3) Oral or intravenous calcium antagonists may cause atrioventricular conduction disturbances, left ventricular failure, and hypotension. (7.4) Catecholamine-depleting drugs may have additive effects and produce hypotension and/or marked bradycardia. (7.5) Digitalis and calcium antagonists, may have additive effects in prolonging atrioventricular conduction time. (7.6) CYP2D6 inhibitors may potentiate systemic beta-blockade. (7.7) 7.1 Oral Carbonic Anhydrase Inhibitors There is a potential for an additive effect on the known systemic effects of carbonic anhydrase inhibition in patients receiving an oral carbonic anhydrase inhibitor and dorzolamide hydrochloride and timolol maleate ophthalmic solution. The concomitant administration of dorzolamide hydrochloride-timolol maleate ophthalmic solution and oral carbonic anhydrase inhibitors is not recommended. 7.2 High-Dose Salicylate Therapy Although acid-base and electrolyte disturbances were not reported in the clinical trials with dorzolamide hydrochloride ophthalmic solution, these disturbances have been reported with oral carbonic anhydrase inhibitors and have, in some instances, resulted in drug interactions (e.g., toxicity asso",FDA_openFDA
PROMETHAZINE HYDROCHLORIDE AND DEXTROMETHORPHAN HYDROBROMIDE ORAL SOLUTION,PROMETHAZINE HYDROCHLORIDE AND DEXTROMETHORPHAN HYDROBROMIDE ORAL SOLUTION,PROMETHAZINE HYDROCHLORIDE AND DEXTROMETHORPHAN HYDROBROMIDE ORAL SOLUTION,"Thus, Epinephrine, Drug Interactions, Concomitant, Depressants, Excessive, Hyperpyrexia, Dextromethorphan, Monoamine Oxidase, Inhibitors, Anticholinergics, Dosage, Promethazine","Drug Interactions Dextromethorphan: Hyperpyrexia, hypotension, and death have been reported coincident with the coadministration of monoamine oxidase (MAO) inhibitors and products containing dextromethorphan. Thus, concomitant administration of promethazine with dextromethorphan and MAO inhibitors should be avoided (see CONTRAINDICATIONS ). Promethazine: CNS Depressants – Promethazine may increase, prolong, or intensify the sedative action of other central nervous system depressants, such as alcohol, sedatives/hypnotics (including barbiturates), narcotics, narcotic analgesics, general anesthetics, tricyclic antidepressants, and tranquilizers; therefore, such agents should be avoided or administered in reduced dosage to patients receiving promethazine HCl. When given concomitantly with promethazine, the dose of barbiturates should be reduced by at least one-half, and the dose of narcotics should be reduced by one-quarter to one-half. Dosage must be individualized. Excessive amounts of promethazine HCl relative to a narcotic may lead to restlessness and motor hyperactivity in the patient with pain; these symptoms usually disappear with adequate control of the pain. Epinephrine – Because of the potential for promethazine to reverse epinephrine's vasopressor effect, epinephrine should NOT be used to treat hypotension associated with promethazine overdose. Anticholinergics – Concomitant use of other agents with anticholinergic properties should be undertaken with caution. Monoamin",FDA_openFDA
ADAGRASIB,KRAZATI,ADAGRASIB,"Substrates, Other Drugs, Adagrasib, Sensitive, Avoid, Drugs That, Inhibitors Avoid, Torsade, Interval Avoid, Strong, Interval, Warnings, Inducers Avoid, Inhibitors, Dosage, Inducers, Effects, Substrates Avoid, Prolong, Precautions, Concomitant, Clinical Pharmacology, Prescribing Information, Withhold","7 DRUG INTERACTIONS See full prescribing information for clinically significant drug interactions with KRAZATI. ( 7 ) • Strong CYP3A4 Inducers : Avoid concomitant use. ( 7.1 ) • Strong CYP3A4 Inhibitors : Avoid concomitant use until adagrasib concentrations have reached steady state. ( 7.1 ) • Sensitive CYP3A4 Substrates : Avoid concomitant use with sensitive CYP3A4 substrates. ( 7.2 ) • Sensitive CYP2C9 or CYP2D6 Substrates or P-gp Substrates : Avoid concomitant use with sensitive CYP2C9 or CYP2D6 substrates or P-gp substrates where minimal concentration changes may lead to serious adverse reactions. ( 7.2 ) • Drugs That Prolong QT Interval : Avoid concomitant use with KRAZATI. ( 7.3 ) 7.1 Effects of Other Drugs on KRAZATI Strong CYP3A4 Inducers Avoid concomitant use of KRAZATI with strong CYP3A inducers. Adagrasib is a CYP3A4 substrate. Concomitant use of KRAZATI with a strong CYP3A inducer reduces adagrasib exposure [see Clinical Pharmacology (12.3) ] , which may reduce the effectiveness of KRAZATI. Strong CYP3A4 Inhibitors Avoid concomitant use of KRAZATI with strong CYP3A inhibitors until adagrasib concentrations have reached steady state (after approximately 8 days). Adagrasib is a CYP3A4 substrate. If adagrasib concentrations have not reached steady state, concomitant use of a strong CYP3A inhibitor will increase adagrasib concentrations, [see Clinical Pharmacology (12.3) ], which may increase the risk of KRAZATI adverse reactions. 7.2 Effects of KRAZATI on Other Drugs",FDA_openFDA
CISATRACURIUM BESYLATE,CISATRACURIUM BESYLATE,CISATRACURIUM BESYLATE,"Phenytoin, Clinically Significant, Table, Local, Quinidine May, Succinylcholine, Minimum Alveolar, Drugs Without, Inhalational Anesthetics, Injection Drug, Concentration, Succinylcholine The, Drug Interactions, Procainamide Lithium, Carbamazepine, Drug Class, Cisatracurium Besylate, Antibiotics, Cisatracurium, Magnesium, With Cisatracurium, Besylate Injection, Carbamazepine May, Examples, Clinical Implications","7 DRUG INTERACTIONS Succinylcholine : May decrease time to onset of maximum neuromuscular blockade. (7.1) I nhalational anesthetics, antibiotics, local anesthetics, magnesium salts, procainamide, lithium, quinidine: May potentiate or prolong neuromuscular blockade action of cisatracurium besylate injection. Use peripheral nerve stimulator and monitor clinical signs of neuromuscular blockade. (5.8, 7.1) Phenytoin and Carbamazepine: May shorten duration of neuromuscular blockade. Use peripheral nerve stimulator and monitor clinical signs of neuromuscular blockade. (5.9, 7.1) 7.1 Clinically Significant Drug Interactions Table 4 displays clinically significant drug interactions with cisatracurium besylate injection. Table 4. Clinically Significant Drug Interactions with Cisatracurium Besylate Injection Drug or Drug Class Clinical Implications* Succinylcholine The use of succinylcholine prior to cisatracurium besylate injection administration may decrease the time to onset of maximum neuromuscular blockade but has no effect on the duration of neuromuscular blockade. Inhalational Anesthetics Administration of inhalational anesthetics with nitrous oxide/oxygen for greater than 30 minutes to achieve 1.25 Minimum Alveolar Concentration (MAC) may prolong the duration of action of initial and maintenance doses of cisatracurium besylate injection. This may potentiate the neuromuscular blockade. Antibiotics† Local anesthetics Magnesium salts Procainamide Lithium Quinidine May prolong the ",FDA_openFDA
ECONAZOLE NITRATE,ECOZA,ECONAZOLE NITRATE,"International Normalized, Monitoring, Most, Ratio, Warfarin Concomitant","7 DRUG INTERACTIONS 7.1 Warfarin Concomitant administration of econazole and warfarin has resulted in enhancement of anticoagulant effect. Most cases reported product application with use under occlusion, genital application, or application to a large body surface area which may increase the systemic absorption of econazole nitrate. Monitoring of International Normalized Ratio (INR) and/or prothrombin time may be indicated especially for patients who apply econazole to large body surface areas, in the genital area, or under occlusion.",FDA_openFDA
HYDROCORTISONE,HYDROCORTISONE,HYDROCORTISONE,"Corticosteroids, Drug Interactions, There, Drugs, Aspirin, Therefore","Drug Interactions The pharmacokinetic interactions listed below are potentially clinically important. Drugs that induce hepatic enzymes such as phenobarbital, phenytoin and rifampin may increase the clearance of corticosteroids and may require increases in corticosteroid dose to achieve the desired response. Drugs such as troleandomycin and ketoconazole may inhibit the metabolism of corticosteroids and thus decrease their clearance. Therefore, the dose of corticosteroid should be titrated to avoid steroid toxicity. Corticosteroids may increase the clearance of chronic high dose aspirin. This could lead to decreased salicylate serum levels or increase the risk of salicylate toxicity when corticosteroid is withdrawn. Aspirin should be used cautiously in conjunction with corticosteroids in patients suffering from hypoprothrombinemia. The effect of corticosteroids on oral anticoagulants is variable. There are reports of enhanced as well as diminished effects of anticoagulants when given concurrently with corticosteroids. Therefore, coagulation indices should be monitored to maintain the desired anticoagulant effect.",FDA_openFDA
METOLAZONE,METOLAZONE,METOLAZONE,"Agents See, General, Digitalis Glycosides, Curariform Drugs, Lithium Serum, Glucose Tolerance, And Narcotics, Other Antihypertensives, Alcohol, Sympathomimetics Metolazone, Insulin And, Methenamine Efficacy, Diuretics Furosemide, Barbiturates, Steroidal Anti, Oral Antidiabetic, Salicylates And, Dosage, Drug Interactions, Diuretic, Serious, Accordingly, Inflammatory Drugs, Other Non, Corticosteroids Or","Drug Interactions Diuretics Furosemide and probably other loop diuretics given concomitantly with metolazone can cause unusually large or prolonged losses of fluid and electrolytes (see WARNINGS ). Other Antihypertensives When metolazone tablets, USP, are used with other antihypertensive drugs, care must be taken, especially during initial therapy. Dosage adjustments of other antihypertensives may be necessary. Alcohol, Barbiturates, And Narcotics The hypotensive effects of these drugs may be potentiated by the volume contraction that may be associated with metolazone therapy. Digitalis Glycosides Diuretic-induced hypokalemia can increase the sensitivity of the myocardium to digitalis. Serious arrhythmias can result. Corticosteroids Or ACTH May increase the risk of hypokalemia and increase salt and water retention. Lithium Serum lithium levels may increase (see WARNINGS ). Curariform Drugs Diuretic-induced hypokalemia may enhance neuromuscular blocking effects of curariform drugs (such as tubocurarine) – the most serious effect would be respiratory depression which could proceed to apnea. Accordingly, it may be advisable to discontinue metolazone tablets, USP, three days before elective surgery. Salicylates And Other Non-Steroidal Anti-Inflammatory Drugs May decrease the antihypertensive effects of metolazone tablets, USP. Sympathomimetics Metolazone may decrease arterial responsiveness to norepinephrine, but this diminution is not sufficient to preclude effectiveness of the ",FDA_openFDA
CLARITHROMYCIN,CLARITHROMYCIN,CLARITHROMYCIN,"Wort Use, Alprazolam Triazolam, Prothrombin, Cilostazol Methylprednisolone, Nitrazepam, Wort, Since, Both, Drugs That, Repaglinide, Maraviroc Maraviroc, Alternative, Ergotamine Dihydroergotamine, Sotalol Procainamide, Vardenafil, Adjust, Nateglinide Pioglitazone, Doses, Warfarin Use, Caution Nateglinide, Clarithromycin, Theophylline, Lorazepam No, Antifungals, Saquinavir","7 DRUG INTERACTIONS Co-administration of clarithromycin tablets is known to inhibit CYP3A, and a drug primarily metabolized by CYP3A may be associated with elevations in drug concentrations that could increase or prolong both therapeutic and adverse effects of the concomitant drug. Clarithromycin tablets should be used with caution in patients receiving treatment with other drugs known to be CYP3A enzyme substrates, especially if the CYP3A substrate has a narrow safety margin (e.g., carbamazepine) and/or the substrate is extensively metabolized by this enzyme. Adjust dosage when appropriate and monitor serum concentrations of drugs primarily metabolized by CYP3A closely in patients concurrently receiving clarithromycin. Table 8. Clinically Significant Drug Interactions with Clarithromycin Tablets Drugs That Are Affected By Clarithromycin Tablets Drug(s) with Pharmacokinetics Affected by Clarithromycin Tablets Recommendation Comments Antiarrhythmics: Disopyramide Quinidine Dofetilide Amiodarone Sotalol Procainamide Not Recommended Disopyramide, Quinidine: There have been postmarketing reports of torsades de pointes occurring with concurrent use of clarithromycin and quinidine or disopyramide. Electrocardiograms should be monitored for QTc prolongation during coadministration of clarithromycin with these drugs [see Warnings and Precautions ( 5.2 )] . Serum concentrations of these medications should also be monitored. There have been spontaneous or published reports of CYP3A bas",FDA_openFDA
TELMISARTAN AND HYDROCHLOROTHIAZIDE,TELMISARTAN AND HYDROCHLOROTHIAZIDE,TELMISARTAN AND HYDROCHLOROTHIAZIDE,"Lithium Increases, Monitor, Therefore, Inhibitors Telmisartan, Avoid, Digoxin When, Closely, Dual, Colestipol Resins, Reduced, Cholestyramine, Steroidal Anti, Renin, Inhibitors, Angiotensin, Dosage, Aldosterone System, Hydrochlorothiazide Administration, Selective Cyclooxygenase, Oral Agents, Lithium, Agents Increasing, Antidiabetic Drugs, Absorption, Changes","7 DRUG INTERACTIONS Lithium: Risk of lithium toxicity (7.2) Non-steroidal anti-inflammatory drugs (NSAIDs): Reduced diuretic, natriuretic, and antihypertensive effects; increased risk of renal impairment (7.3) Dual blockade of renin-angiotensin system: Increased risk of renal impairment, hypotension, and hyperkalemia (7.4) Antidiabetic drugs: Dosage adjustment may be required (7.6) Cholestyramine and colestipol: Reduced absorption of thiazides (7.7) 7.1 Agents Increasing Serum Potassium Co-administration of telmisartan with other drugs that raise serum potassium levels may result in hyperkalemia. Monitor serum potassium in such patients. 7.2 Lithium Increases in serum lithium concentrations and lithium toxicity have been reported with concomitant use of thiazide diuretics or angiotensin II receptor antagonists, including telmisartan. Monitor lithium levels in patients receiving telmisartan and hydrochlorothiazide and lithium. 7.3 Non-Steroidal Anti-Inflammatory Agents including Selective Cyclooxygenase-2 Inhibitors Telmisartan Non-Steroidal Anti-Inflammatory Agents including Selective Cyclooxygenase-2 Inhibitors (COX-2 Inhibitors): In patients who are elderly, volume-depleted (including those on diuretic therapy), or with compromised renal function, co-administration of NSAIDs, including selective COX-2 inhibitors, with ARBs, including telmisartan, may result in deterioration of renal function, including possible acute renal failure. These effects are usually reversible. The ",FDA_openFDA
DOXYLAMINE SUCCINATE AND PYRIDOXINE HYDROCHLORIDE,DOXYLAMINE SUCCINATE AND PYRIDOXINE HYDROCHLORIDE,DOXYLAMINE SUCCINATE AND PYRIDOXINE HYDROCHLORIDE,"Severe, Food Interactions, False Positive, Methadone, Confirmatory, Gas Chromatography, Drug Interactions, Mass Spectrometry, Opiates, Urine Tests, False, Clinical Pharmacology, Therefore, Dosage","7 DRUG INTERACTIONS Severe drowsiness can occur when used in combination with alcohol or other sedating medications. ( 7 ) 7.1 Drug Interactions Use of doxylamine succinate and pyridoxine hydrochloride is contraindicated in women who are taking monoamine oxidase inhibitors (MAOIs), which prolong and intensify the anticholinergic (drying) effects of antihistamines. Concurrent use of alcohol and other CNS depressants (such as hypnotic sedatives and tranquilizers) with doxylamine succinate and pyridoxine hydrochloride is not recommended. 7.2 Drug-Food Interactions A food-effect study demonstrated that the delay in the onset of action of doxylamine succinate and pyridoxine hydrochloride may be further delayed, and a reduction in absorption may occur when tablets are taken with food [see Dosage and Administration (2) , Clinical Pharmacology (12.3) ] . Therefore, doxylamine succinate and pyridoxine hydrochloride should be taken on an empty stomach with a glass of water [ see Dosage and Administration (2) ]. 7.3 False Positive Urine Tests for Methadone, Opiates and PCP False positive drug screens for methadone, opiates, and PCP can occur with doxylamine succinate/pyridoxine hydrochloride use. Confirmatory tests, such as Gas Chromatography Mass Spectrometry (GC-MS), should be used to confirm the identity of the substance in the event of a positive immunoassay result. 7.1 Drug Interactions Use of doxylamine succinate and pyridoxine hydrochloride is contraindicated in women who are tak",FDA_openFDA
LAROTRECTINIB,VITRAKVI,LAROTRECTINIB,"Substrates, Monitor, Other Drugs, Sensitive, Inducers Coadministration, Increase, Avoid, Strong, Inhibitors, John, Dosage, Inducers, Effects, Moderate, Inhibitors Coadministration, Substrates Coadministration, Clinical Pharmacology","7 DRUG INTERACTIONS Strong CYP3A4 Inhibitors: Avoid coadministration of strong CYP3A4 inhibitors with VITRAKVI. If coadministration cannot be avoided, reduce the VITRAKVI dose. ( 2.5 , 7.1 ) Moderate CYP3A4 Inhibitors: Monitor for adverse reactions more frequently in patients coadministered a moderate CYP3A4 inhibitor with VITRAKVI and reduce the VITRAKVI dosage based on severity of adverse reactions. ( 7.1 ) Strong CYP3A4 Inducers: Avoid coadministration of strong CYP3A4 inducers with VITRAKVI. If coadministration cannot be avoided, increase the VITRAKVI dose. ( 2.6 , 7.1 ) Moderate CYP3A4 Inducers: Increase the VITRAKVI dose. ( 2.6 , 7.1 ) Sensitive CYP3A4 Substrates: Avoid coadministration of sensitive CYP3A4 substrates with VITRAKVI. ( 7.2 ) 7.1 Effects of Other Drugs on VITRAKVI Strong and Moderate CYP3A4 Inhibitors Coadministration of VITRAKVI with a strong or moderate CYP3A4 inhibitor may increase larotrectinib plasma concentrations, which may result in a higher incidence of adverse reactions [see Clinical Pharmacology (12.3) ]. Avoid coadministration of VITRAKVI with strong CYP3A4 inhibitors, including grapefruit or grapefruit juice. If coadministration of strong CYP3A4 inhibitors cannot be avoided, modify VITRAKVI dose as recommended [see Dosage and Administration (2.5) ] . In patients coadministered a moderate CYP3A4 inhibitor with VITRAKVI, monitor for adverse reactions more frequently and reduce the VITRAKVI dosage based on the severity of emergent adverse reactio",FDA_openFDA
AZITHROMYCIN DIHYDRATE,AZITHROMYCIN DIHYDRATE,AZITHROMYCIN DIHYDRATE,"Nelfinavir, Adverse Reactions, Until, Drug Interactions, Macrolides Interactions, Potential Drug, Warfarin, Close, Prothrombin, However, Nelfinavir Co, Warfarin Spontaneous","7 DRUG INTERACTIONS Nelfinavir: Close monitoring for known adverse reactions of azithromycin, such as liver enzyme abnormalities and hearing impairment, is warranted. ( 7.1 ) Warfarin: Use with azithromycin may increase coagulation times; monitor prothrombin time. ( 7.2 ) 7.1 Nelfinavir Co-administration of nelfinavir at steady-state with a single oral dose of azithromycin resulted in increased azithromycin serum concentrations. Although a dose adjustment of azithromycin is not recommended when administered in combination with nelfinavir, close monitoring for known adverse reactions of azithromycin, such as liver enzyme abnormalities and hearing impairment, is warranted. [see Adverse Reactions (6) ] 7.2 Warfarin Spontaneous postmarketing reports suggest that concomitant administration of azithromycin may potentiate the effects of oral anticoagulants such as warfarin, although the prothrombin time was not affected in the dedicated drug interaction study with azithromycin and warfarin. Prothrombin times should be carefully monitored while patients are receiving azithromycin and oral anticoagulants concomitantly. 7.3 Potential Drug-Drug Interactions with Macrolides Interactions with digoxin, colchicine or phenytoin have not been reported in clinical trials with azithromycin. No specific drug interaction studies have been performed to evaluate potential drug-drug interactions. However, drug interactions have been observed with other macrolide products. Until further data are deve",FDA_openFDA
